;FR20030;FR20026;FR20017;FR20002;FR20013;FR20045;FR20029;FR20049;FR20019;FR20038;FR20020;FR20008;FR20033;FR20037;FR20003;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
15/02/2000;28.0;-1.0;59.0;65.0;109.0;35.0;45.0;7.0;81.0;59.0;56.0;94.0;43.0;49.0;91.0;64.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
16/02/2000;19.0;-1.0;32.0;54.0;67.0;42.0;32.0;5.0;53.0;32.0;35.0;63.0;27.0;26.0;77.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
17/02/2000;26.0;-1.0;40.0;57.0;82.0;42.0;37.0;5.0;67.0;39.0;51.0;71.0;32.0;30.0;83.0;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
18/02/2000;20.0;-1.0;54.0;72.0;94.0;30.0;36.0;6.0;79.0;43.0;52.0;93.0;30.0;39.0;88.0;58.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
19/02/2000;18.0;-1.0;32.0;48.0;68.0;38.0;28.0;4.0;46.0;33.0;34.0;61.0;23.0;23.0;71.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
20/02/2000;12.0;-1.0;19.0;29.0;51.0;10.0;26.0;4.0;27.0;29.0;23.0;33.0;23.0;17.0;35.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
21/02/2000;33.0;-1.0;45.0;51.0;84.0;39.0;41.0;7.0;47.0;47.0;41.0;63.0;43.0;46.0;71.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/02/2000;49.0;-1.0;66.0;65.0;101.0;59.0;53.0;12.0;70.0;67.0;59.0;78.0;59.0;65.0;82.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/02/2000;46.0;-1.0;76.0;75.0;105.0;60.0;53.0;9.0;85.0;72.0;67.0;81.0;53.0;66.0;104.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/02/2000;51.0;-1.0;94.0;88.0;124.0;49.0;55.0;12.0;105.0;78.0;79.0;112.0;61.0;67.0;110.0;82.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
