;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10
19/02/2007;87.0;23.0;46.0;74.0;-1.0;0.0;62.0;57.0;50.0;58.0;-1.0;174.0;-1.0;79.0;-1.0;11.0;6.0;50.0;59.0;55.0;38.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;47.8;1;1;1;1;0
20/02/2007;123.0;48.0;17.0;36.0;-1.0;1.0;82.0;86.0;26.0;32.0;-1.0;134.0;-1.0;113.0;-1.0;30.0;8.0;37.0;23.0;41.0;41.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;66.73;1;1;1;1;1
21/02/2007;110.0;42.0;43.0;38.0;-1.0;0.0;97.0;77.0;52.0;84.0;-1.0;195.0;-1.0;161.0;-1.0;24.0;7.0;55.0;36.0;74.0;46.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;72.83;1;1;1;1;1
22/02/2007;-1.0;33.0;27.0;42.0;-1.0;0.0;87.0;69.0;30.0;40.0;-1.0;133.0;-1.0;93.0;-1.0;33.0;20.0;48.0;38.0;33.0;40.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;52.3;1;1;1;1;0
23/02/2007;-1.0;19.0;17.0;20.0;-1.0;0.0;51.0;54.0;14.0;23.0;-1.0;129.0;-1.0;90.0;-1.0;10.0;2.0;19.0;8.0;20.0;28.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.41;1;1;1;0;0
24/02/2007;37.0;2.0;1.0;3.0;-1.0;0.0;17.0;19.0;1.0;2.0;-1.0;30.0;-1.0;31.0;-1.0;1.0;0.0;3.0;1.0;0.0;3.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;13.42;0;1;0;0;0
25/02/2007;27.0;1.0;1.0;3.0;-1.0;0.0;18.0;23.0;0.0;1.0;-1.0;25.0;-1.0;13.0;-1.0;0.0;0.0;5.0;1.0;0.0;1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.83;0;1;0;0;0
26/02/2007;75.0;4.0;5.0;30.0;-1.0;0.0;13.0;47.0;5.0;12.0;-1.0;121.0;-1.0;35.0;-1.0;4.0;1.0;24.0;11.0;0.0;6.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;26.68;0;1;1;0;0
27/02/2007;98.0;16.0;12.0;15.0;-1.0;0.0;73.0;62.0;13.0;15.0;-1.0;238.0;-1.0;78.0;-1.0;15.0;2.0;28.0;22.0;17.0;22.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;44.74;1;1;1;1;0
28/02/2007;94.0;13.0;5.0;19.0;-1.0;0.0;56.0;60.0;3.0;12.0;-1.0;181.0;-1.0;85.0;-1.0;14.0;1.0;14.0;5.0;11.0;19.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.54;1;1;1;1;0
