;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur
12/02/2000;105.0;12.0;14.0;35.0;-1.0;2.0;43.0;27.0;9.0;19.0;5.0;192.0;44.0;53.0;15.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.52
13/02/2000;106.0;30.0;23.0;32.0;-1.0;2.0;88.0;58.0;36.0;24.0;20.0;222.0;51.0;86.0;22.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;64.46
14/02/2000;147.0;39.0;26.0;39.0;-1.0;4.0;110.0;76.0;29.0;22.0;15.0;390.0;63.0;142.0;24.0;54.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;90.4
15/02/2000;229.0;56.0;38.0;44.0;-1.0;4.0;159.0;103.0;39.0;39.0;28.0;435.0;99.0;190.0;22.0;74.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;128.97
16/02/2000;130.0;6.0;9.0;45.0;-1.0;2.0;33.0;46.0;4.0;11.0;4.0;166.0;12.0;61.0;6.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;48.69
17/02/2000;174.0;19.0;16.0;46.0;-1.0;2.0;76.0;63.0;13.0;23.0;6.0;250.0;47.0;82.0;7.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;72.2
18/02/2000;195.0;35.0;8.0;28.0;-1.0;3.0;131.0;98.0;9.0;18.0;4.0;329.0;53.0;191.0;7.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;110.51
19/02/2000;110.0;9.0;10.0;36.0;-1.0;2.0;26.0;35.0;3.0;7.0;3.0;171.0;26.0;61.0;4.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.92
20/02/2000;36.0;2.0;12.0;16.0;-1.0;2.0;7.0;10.0;1.0;6.0;3.0;95.0;7.0;13.0;2.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;13.71
21/02/2000;112.0;11.0;19.0;52.0;-1.0;2.0;19.0;31.0;27.0;25.0;12.0;246.0;18.0;57.0;9.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.71
22/02/2000;134.0;34.0;42.0;119.0;-1.0;3.0;50.0;59.0;48.0;75.0;25.0;288.0;44.0;101.0;52.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;68.39
23/02/2000;191.0;78.0;57.0;142.0;-1.0;2.0;152.0;101.0;37.0;92.0;26.0;277.0;117.0;125.0;57.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;110.59
24/02/2000;264.0;92.0;62.0;75.0;-1.0;3.0;226.0;152.0;89.0;83.0;56.0;399.0;148.0;217.0;57.0;116.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;168.56
25/02/2000;271.0;110.0;46.0;57.0;-1.0;5.0;180.0;181.0;66.0;84.0;46.0;508.0;118.0;254.0;57.0;141.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;185.03
26/02/2000;141.0;59.0;47.0;61.0;-1.0;6.0;94.0;138.0;50.0;62.0;31.0;261.0;102.0;123.0;50.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;101.61
27/02/2000;99.0;37.0;19.0;49.0;-1.0;7.0;95.0;115.0;32.0;31.0;15.0;118.0;67.0;86.0;21.0;47.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;76.32
28/02/2000;50.0;3.0;1.0;12.0;-1.0;4.0;28.0;55.0;13.0;3.0;2.0;69.0;4.0;58.0;2.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.88
29/02/2000;74.0;3.0;1.0;12.0;-1.0;4.0;39.0;74.0;9.0;3.0;3.0;95.0;4.0;72.0;2.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.65
01/03/2000;127.0;9.0;7.0;-1.0;-1.0;3.0;43.0;78.0;6.0;13.0;3.0;140.0;9.0;52.0;4.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;52.51
02/03/2000;144.0;19.0;29.0;-1.0;-1.0;2.0;50.0;81.0;21.0;32.0;7.0;240.0;75.0;61.0;32.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;65.4
03/03/2000;198.0;41.0;33.0;60.0;-1.0;3.0;168.0;155.0;60.0;72.0;30.0;353.0;108.0;148.0;61.0;64.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;121.96
04/03/2000;64.0;4.0;10.0;22.0;-1.0;3.0;14.0;31.0;3.0;6.0;4.0;166.0;10.0;28.0;2.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;26.3
05/03/2000;47.0;2.0;12.0;18.0;-1.0;2.0;6.0;25.0;1.0;5.0;3.0;94.0;6.0;12.0;1.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.34
06/03/2000;220.0;84.0;26.0;47.0;-1.0;5.0;140.0;194.0;36.0;55.0;15.0;292.0;103.0;130.0;42.0;62.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;134.59
07/03/2000;210.0;73.0;25.0;70.0;-1.0;2.0;119.0;147.0;40.0;57.0;20.0;292.0;86.0;165.0;37.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;121.73
08/03/2000;213.0;68.0;40.0;104.0;-1.0;3.0;98.0;140.0;27.0;84.0;23.0;322.0;85.0;145.0;69.0;64.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;121.63
09/03/2000;223.0;59.0;42.0;110.0;-1.0;4.0;130.0;140.0;15.0;68.0;11.0;270.0;113.0;137.0;45.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;120.05
10/03/2000;147.0;12.0;30.0;61.0;-1.0;3.0;22.0;72.0;16.0;44.0;10.0;248.0;25.0;48.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;63.66
11/03/2000;107.0;28.0;21.0;67.0;-1.0;4.0;64.0;95.0;12.0;30.0;10.0;206.0;61.0;85.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;75.88
12/03/2000;48.0;2.0;9.0;22.0;-1.0;4.0;7.0;28.0;6.0;14.0;3.0;105.0;6.0;23.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.81
13/03/2000;111.0;23.0;26.0;72.0;-1.0;3.0;18.0;64.0;32.0;55.0;12.0;243.0;17.0;101.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;67.39
14/03/2000;134.0;13.0;11.0;74.0;-1.0;3.0;41.0;68.0;-1.0;49.0;10.0;262.0;33.0;87.0;39.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;62.94
15/03/2000;58.0;8.0;11.0;25.0;-1.0;3.0;8.0;40.0;-1.0;14.0;7.0;164.0;9.0;18.0;4.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;26.74
16/03/2000;85.0;7.0;14.0;27.0;-1.0;2.0;10.0;51.0;3.0;27.0;5.0;170.0;9.0;31.0;11.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.84
17/03/2000;73.0;6.0;14.0;26.0;-1.0;3.0;11.0;56.0;4.0;26.0;7.0;189.0;32.0;24.0;6.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.1
18/03/2000;62.0;3.0;16.0;19.0;-1.0;3.0;7.0;44.0;1.0;20.0;4.0;83.0;7.0;25.0;3.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.79
19/03/2000;48.0;2.0;10.0;15.0;-1.0;2.0;6.0;39.0;1.0;13.0;2.0;70.0;5.0;23.0;3.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.5
20/03/2000;127.0;13.0;12.0;65.0;-1.0;2.0;69.0;81.0;17.0;34.0;7.0;231.0;35.0;60.0;31.0;27.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;60.34
21/03/2000;186.0;38.0;23.0;51.0;-1.0;4.0;128.0;138.0;53.0;50.0;19.0;283.0;89.0;140.0;44.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;111.38
22/03/2000;90.0;12.0;8.0;-1.0;-1.0;4.0;56.0;76.0;8.0;8.0;4.0;189.0;10.0;87.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;61.29
23/03/2000;100.0;11.0;4.0;-1.0;-1.0;4.0;73.0;77.0;2.0;4.0;11.0;240.0;27.0;92.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;66.67
24/03/2000;138.0;26.0;14.0;-1.0;-1.0;5.0;107.0;86.0;17.0;19.0;7.0;267.0;51.0;102.0;23.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;75.05
25/03/2000;131.0;28.0;19.0;-1.0;-1.0;5.0;106.0;81.0;31.0;38.0;11.0;-1.0;71.0;88.0;34.0;48.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;75.76
26/03/2000;51.0;3.0;2.0;14.0;-1.0;3.0;38.0;38.0;4.0;3.0;2.0;86.0;6.0;24.0;3.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;24.42
