;id_station;valeur
20/05/2007;FR20013;22.0
20/05/2007;FR20062;15.0
21/05/2007;FR20013;31.0
21/05/2007;FR20046;16.8
21/05/2007;FR20062;18.0
22/05/2007;FR20013;39.0
22/05/2007;FR20046;20.8
22/05/2007;FR20062;24.0
23/05/2007;FR20046;16.3
23/05/2007;FR20013;38.0
23/05/2007;FR20062;16.0
24/05/2007;FR20062;17.0
24/05/2007;FR20013;39.0
24/05/2007;FR20046;16.3
25/05/2007;FR20062;28.0
25/05/2007;FR20046;29.4
25/05/2007;FR20013;48.0
26/05/2007;FR20046;24.2
26/05/2007;FR20062;25.0
26/05/2007;FR20013;42.0
27/05/2007;FR20013;20.0
27/05/2007;FR20062;9.0
27/05/2007;FR20046;6.8
28/05/2007;FR20046;4.1
28/05/2007;FR20013;12.0
28/05/2007;FR20062;6.0
29/05/2007;FR20046;7.7
29/05/2007;FR20013;18.0
29/05/2007;FR20062;13.0
30/05/2007;FR20046;14.1
30/05/2007;FR20062;17.0
30/05/2007;FR20013;28.0
31/05/2007;FR20062;16.0
31/05/2007;FR20013;33.0
31/05/2007;FR20046;13.4
01/06/2007;FR20046;9.3
01/06/2007;FR20013;25.0
01/06/2007;FR20062;12.0
02/06/2007;FR20013;20.0
02/06/2007;FR20062;15.0
02/06/2007;FR20046;13.3
03/06/2007;FR20046;17.5
03/06/2007;FR20062;20.0
03/06/2007;FR20013;30.0
04/06/2007;FR20062;21.0
04/06/2007;FR20046;18.5
04/06/2007;FR20013;39.0
05/06/2007;FR20046;14.9
05/06/2007;FR20013;36.0
05/06/2007;FR20062;19.0
06/06/2007;FR20013;44.0
06/06/2007;FR20046;18.5
06/06/2007;FR20062;21.0
07/06/2007;FR20062;24.0
07/06/2007;FR20046;17.8
07/06/2007;FR20013;41.0
08/06/2007;FR20046;18.0
08/06/2007;FR20062;24.0
08/06/2007;FR20013;53.0
09/06/2007;FR20062;23.0
09/06/2007;FR20013;47.0
09/06/2007;FR20046;24.2
10/06/2007;FR20062;20.0
10/06/2007;FR20046;16.4
10/06/2007;FR20013;33.0
11/06/2007;FR20046;11.2
11/06/2007;FR20013;32.0
11/06/2007;FR20062;15.0
12/06/2007;FR20013;19.0
12/06/2007;FR20046;13.5
12/06/2007;FR20062;15.0
13/06/2007;FR20046;17.0
13/06/2007;FR20062;19.0
13/06/2007;FR20013;24.0
14/06/2007;FR20046;15.2
14/06/2007;FR20013;19.0
14/06/2007;FR20062;18.0
15/06/2007;FR20046;7.2
15/06/2007;FR20013;19.0
15/06/2007;FR20062;10.0
16/06/2007;FR20013;12.0
16/06/2007;FR20046;10.1
16/06/2007;FR20062;12.0
17/06/2007;FR20013;13.0
17/06/2007;FR20062;14.0
17/06/2007;FR20046;11.6
18/06/2007;FR20013;20.0
18/06/2007;FR20062;16.0
18/06/2007;FR20046;12.4
19/06/2007;FR20013;27.0
19/06/2007;FR20046;13.4
19/06/2007;FR20062;16.0
20/06/2007;FR20062;16.0
20/06/2007;FR20046;13.2
20/06/2007;FR20013;26.0
21/06/2007;FR20062;10.0
21/06/2007;FR20046;7.3
22/06/2007;FR20013;13.0
22/06/2007;FR20046;7.9
22/06/2007;FR20062;9.0
23/06/2007;FR20062;8.0
23/06/2007;FR20046;7.6
23/06/2007;FR20013;12.0
24/06/2007;FR20062;15.0
24/06/2007;FR20046;10.9
24/06/2007;FR20013;15.0
25/06/2007;FR20046;11.3
25/06/2007;FR20062;14.0
25/06/2007;FR20013;18.0
26/06/2007;FR20046;7.7
26/06/2007;FR20062;9.0
26/06/2007;FR20013;14.0
27/06/2007;FR20013;14.0
27/06/2007;FR20062;9.0
27/06/2007;FR20046;8.1
28/06/2007;FR20062;11.0
28/06/2007;FR20013;18.0
28/06/2007;FR20046;10.9
29/06/2007;FR20046;13.3
29/06/2007;FR20013;22.0
29/06/2007;FR20062;13.0
30/06/2007;FR20013;20.0
30/06/2007;FR20046;13.4
30/06/2007;FR20062;12.0
01/07/2007;FR20013;28.0
01/07/2007;FR20046;18.4
01/07/2007;FR20062;22.0
02/07/2007;FR20062;12.0
02/07/2007;FR20046;11.2
02/07/2007;FR20013;16.0
03/07/2007;FR20062;14.0
03/07/2007;FR20013;19.0
03/07/2007;FR20046;12.8
04/07/2007;FR20046;6.4
04/07/2007;FR20062;10.0
04/07/2007;FR20013;17.0
05/07/2007;FR20062;10.0
05/07/2007;FR20046;7.8
05/07/2007;FR20013;18.0
06/07/2007;FR20062;14.0
06/07/2007;FR20046;12.0
06/07/2007;FR20013;25.0
07/07/2007;FR20062;11.0
07/07/2007;FR20046;9.6
07/07/2007;FR20013;18.0
08/07/2007;FR20013;22.0
08/07/2007;FR20046;13.0
08/07/2007;FR20062;16.0
09/07/2007;FR20062;10.0
09/07/2007;FR20046;8.2
